Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
IMAP,deepseek-reasoner,35,11,6,5,29,0.171,0.545,0.261
IMAP,gpt-4o-mini,56,11,4,7,52,0.071,0.364,0.119
IMAP,claude-3-7-sonnet-20250219,48,11,7,4,41,0.146,0.636,0.237
IMAP,gemini-2.0-flash,90,11,7,4,83,0.078,0.636,0.139
IMAP,deepseek-chat,16,11,6,5,10,0.375,0.545,0.444
IMAP,qwq,4,11,3,8,1,0.75,0.273,0.4
IMAP,qwen3:32b,4,11,2,9,2,0.5,0.182,0.267
IMAP,gemma3:27b,17,11,5,6,12,0.294,0.455,0.357
IMAP,mistral-small3.1,20,11,6,5,14,0.3,0.545,0.387
POP3,deepseek-reasoner,21,18,12,6,9,0.571,0.667,0.615
POP3,gpt-4o-mini,33,18,12,6,21,0.364,0.667,0.471
POP3,claude-3-7-sonnet-20250219,26,18,9,9,17,0.346,0.5,0.409
POP3,gemini-2.0-flash,39,18,13,5,26,0.333,0.722,0.456
POP3,deepseek-chat,20,18,10,8,10,0.5,0.556,0.526
POP3,qwq,5,18,1,17,4,0.2,0.056,0.087
POP3,qwen3:32b,8,18,4,14,4,0.5,0.222,0.308
POP3,gemma3:27b,38,18,9,9,29,0.237,0.5,0.321
POP3,mistral-small3.1,29,18,9,9,20,0.31,0.5,0.383
MQTT,deepseek-reasoner,16,17,1,16,15,0.062,0.059,0.061
MQTT,gpt-4o-mini,37,17,0,17,37,0.0,0.0,0.0
MQTT,claude-3-7-sonnet-20250219,45,17,0,17,45,0.0,0.0,0.0
MQTT,gemini-2.0-flash,48,17,0,17,48,0.0,0.0,0.0
MQTT,deepseek-chat,6,17,0,17,6,0.0,0.0,0.0
MQTT,qwq,18,17,0,17,18,0.0,0.0,0.0
MQTT,qwen3:32b,6,17,0,17,6,0.0,0.0,0.0
MQTT,gemma3:27b,19,17,0,17,19,0.0,0.0,0.0
