Protocol,Model,TotalExtracted,TotalGT,Matched,UnmatchedGT,UnmatchedExtracted,Precision,Recall,F1-Score
IMAP,deepseek-reasoner,35,11,4,7,31,0.114,0.364,0.174
IMAP,gpt-4o-mini,56,11,2,9,54,0.036,0.182,0.06
IMAP,claude-3-7-sonnet-20250219,48,11,4,7,44,0.083,0.364,0.136
IMAP,gemini-2.0-flash,90,11,6,5,84,0.067,0.545,0.119
IMAP,deepseek-chat,16,11,6,5,10,0.375,0.545,0.444
IMAP,qwq,4,11,3,8,1,0.75,0.273,0.4
IMAP,qwen3:32b,4,11,2,9,2,0.5,0.182,0.267
IMAP,gemma3:27b,17,11,3,8,14,0.176,0.273,0.214
IMAP,mistral-small3.1,20,11,5,6,15,0.25,0.455,0.323
POP3,deepseek-reasoner,21,18,8,10,13,0.381,0.444,0.41
POP3,gpt-4o-mini,33,18,10,8,23,0.303,0.556,0.392
POP3,claude-3-7-sonnet-20250219,26,18,8,10,18,0.308,0.444,0.364
POP3,gemini-2.0-flash,39,18,9,9,30,0.231,0.5,0.316
POP3,deepseek-chat,20,18,9,9,11,0.45,0.5,0.474
POP3,qwq,5,18,1,17,4,0.2,0.056,0.087
POP3,qwen3:32b,8,18,4,14,4,0.5,0.222,0.308
POP3,gemma3:27b,38,18,6,12,32,0.158,0.333,0.214
POP3,mistral-small3.1,29,18,8,10,21,0.276,0.444,0.34
MQTT,deepseek-reasoner,16,17,1,16,15,0.062,0.059,0.061
MQTT,gpt-4o-mini,37,17,0,17,37,0.0,0.0,0.0
MQTT,claude-3-7-sonnet-20250219,45,17,0,17,45,0.0,0.0,0.0
MQTT,gemini-2.0-flash,48,17,0,17,48,0.0,0.0,0.0
MQTT,deepseek-chat,6,17,0,17,6,0.0,0.0,0.0
MQTT,qwq,18,17,0,17,18,0.0,0.0,0.0
MQTT,qwen3:32b,6,17,0,17,6,0.0,0.0,0.0
MQTT,gemma3:27b,19,17,0,17,19,0.0,0.0,0.0
MQTT,mistral-small3.1,37,17,0,17,37,0.0,0.0,0.0
PPP,deepseek-reasoner,111,27,17,10,94,0.153,0.63,0.246
PPP,gpt-4o-mini,33,27,1,26,32,0.03,0.037,0.033
PPP,claude-3-7-sonnet-20250219,138,27,8,19,130,0.058,0.296,0.097
PPP,gemini-2.0-flash,126,27,19,8,107,0.151,0.704,0.248
PPP,deepseek-chat,21,27,3,24,18,0.143,0.111,0.125
PPP,qwq,5,27,0,27,5,0.0,0.0,0.0
PPP,qwen3:32b,21,27,0,27,21,0.0,0.0,0.0
PPP,gemma3:27b,9,27,0,27,9,0.0,0.0,0.0
PPP,mistral-small3.1,12,27,0,27,12,0.0,0.0,0.0
PPTP,deepseek-reasoner,18,19,7,12,11,0.389,0.368,0.378
PPTP,gpt-4o-mini,29,19,2,17,27,0.069,0.105,0.083
PPTP,claude-3-7-sonnet-20250219,56,19,2,17,54,0.036,0.105,0.053
PPTP,gemini-2.0-flash,23,19,0,19,23,0.0,0.0,0.0
PPTP,deepseek-chat,34,19,5,14,29,0.147,0.263,0.189
PPTP,qwq,2,19,0,19,2,0.0,0.0,0.0
PPTP,qwen3:32b,6,19,0,19,6,0.0,0.0,0.0
PPTP,gemma3:27b,6,19,0,19,6,0.0,0.0,0.0
PPTP,mistral-small3.1,12,19,1,18,11,0.083,0.053,0.065
BGP,deepseek-reasoner,20,26,13,13,7,0.65,0.5,0.565
BGP,gpt-4o-mini,25,26,7,19,18,0.28,0.269,0.275
BGP,claude-3-7-sonnet-20250219,60,26,18,8,42,0.3,0.692,0.419
BGP,gemini-2.0-flash,101,26,21,5,80,0.208,0.808,0.331
BGP,deepseek-chat,32,26,11,15,21,0.344,0.423,0.379
BGP,qwq,7,26,2,24,5,0.286,0.077,0.121
BGP,qwen3:32b,11,26,5,21,6,0.455,0.192,0.27
BGP,gemma3:27b,21,26,3,23,18,0.143,0.115,0.128
BGP,mistral-small3.1,9,26,0,26,9,0.0,0.0,0.0
SIP,deepseek-reasoner,58,20,12,8,46,0.207,0.6,0.308
SIP,gpt-4o-mini,127,20,0,20,127,0.0,0.0,0.0
SIP,claude-3-7-sonnet-20250219,164,20,0,20,164,0.0,0.0,0.0
SIP,gemini-2.0-flash,180,20,18,2,162,0.1,0.9,0.18
SIP,deepseek-chat,43,20,13,7,30,0.302,0.65,0.413
SIP,qwq,5,20,0,20,5,0.0,0.0,0.0
SIP,qwen3:32b,11,20,1,19,10,0.091,0.05,0.065
SIP,gemma3:27b,47,20,2,18,45,0.043,0.1,0.06
SIP,mistral-small3.1,30,20,0,20,30,0.0,0.0,0.0
RTSP,deepseek-reasoner,41,33,29,4,12,0.707,0.879,0.784
RTSP,gpt-4o-mini,70,33,0,33,70,0.0,0.0,0.0
RTSP,claude-3-7-sonnet-20250219,89,33,20,13,69,0.225,0.606,0.328
RTSP,gemini-2.0-flash,78,33,13,20,65,0.167,0.394,0.234
RTSP,deepseek-chat,39,33,32,1,7,0.821,0.97,0.889
RTSP,qwq,2,33,0,33,2,0.0,0.0,0.0
RTSP,qwen3:32b,10,33,8,25,2,0.8,0.242,0.372
RTSP,gemma3:27b,24,33,5,28,19,0.208,0.152,0.175
RTSP,mistral-small3.1,33,33,0,33,33,0.0,0.0,0.0
DCCP,deepseek-reasoner,29,25,8,17,21,0.276,0.32,0.296
DCCP,gpt-4o-mini,55,25,1,24,54,0.018,0.04,0.025
DCCP,claude-3-7-sonnet-20250219,40,25,12,13,28,0.3,0.48,0.369
DCCP,gemini-2.0-flash,44,25,8,17,36,0.182,0.32,0.232
DCCP,deepseek-chat,28,25,10,15,18,0.357,0.4,0.377
DCCP,qwq,4,25,1,24,3,0.25,0.04,0.069
DCCP,qwen3:32b,15,25,3,22,12,0.2,0.12,0.15
DCCP,gemma3:27b,18,25,3,22,15,0.167,0.12,0.14
DCCP,mistral-small3.1,9,25,0,25,9,0.0,0.0,0.0
DHCP,deepseek-reasoner,20,19,13,6,7,0.65,0.684,0.667
DHCP,gpt-4o-mini,26,19,6,13,20,0.231,0.316,0.267
DHCP,claude-3-7-sonnet-20250219,18,19,14,5,4,0.778,0.737,0.757
DHCP,gemini-2.0-flash,27,19,6,13,21,0.222,0.316,0.261
DHCP,deepseek-chat,15,19,9,10,6,0.6,0.474,0.529
DHCP,qwq,6,19,4,15,2,0.667,0.211,0.32
DHCP,qwen3:32b,4,19,0,19,4,0.0,0.0,0.0
DHCP,gemma3:27b,10,19,0,19,10,0.0,0.0,0.0
DHCP,mistral-small3.1,5,19,2,17,3,0.4,0.105,0.167
FTP,deepseek-reasoner,23,24,5,19,18,0.217,0.208,0.213
FTP,gpt-4o-mini,53,24,0,24,53,0.0,0.0,0.0
FTP,claude-3-7-sonnet-20250219,46,24,2,22,44,0.043,0.083,0.057
FTP,gemini-2.0-flash,51,24,1,23,50,0.02,0.042,0.027
FTP,deepseek-chat,77,24,5,19,72,0.065,0.208,0.099
FTP,qwq,7,24,2,22,5,0.286,0.083,0.129
FTP,qwen3:32b,14,24,1,23,13,0.071,0.042,0.053
FTP,gemma3:27b,42,24,1,23,41,0.024,0.042,0.03
FTP,mistral-small3.1,33,24,2,22,31,0.061,0.083,0.07
NNTP,deepseek-reasoner,73,16,1,15,72,0.014,0.062,0.022
NNTP,gpt-4o-mini,68,16,3,13,65,0.044,0.188,0.071
NNTP,claude-3-7-sonnet-20250219,75,16,2,14,73,0.027,0.125,0.044
NNTP,gemini-2.0-flash,116,16,2,14,114,0.017,0.125,0.03
NNTP,deepseek-chat,25,16,1,15,24,0.04,0.062,0.049
NNTP,qwq,3,16,0,16,3,0.0,0.0,0.0
NNTP,qwen3:32b,6,16,0,16,6,0.0,0.0,0.0
NNTP,gemma3:27b,14,16,0,16,14,0.0,0.0,0.0
NNTP,mistral-small3.1,4,16,0,16,4,0.0,0.0,0.0
SMTP,deepseek-reasoner,45,22,0,22,45,0.0,0.0,0.0
SMTP,gpt-4o-mini,52,22,0,22,52,0.0,0.0,0.0
SMTP,claude-3-7-sonnet-20250219,40,22,0,22,40,0.0,0.0,0.0
SMTP,gemini-2.0-flash,32,22,1,21,31,0.031,0.045,0.037
SMTP,deepseek-chat,18,22,1,21,17,0.056,0.045,0.05
SMTP,qwq,11,22,0,22,11,0.0,0.0,0.0
SMTP,qwen3:32b,7,22,0,22,7,0.0,0.0,0.0
SMTP,gemma3:27b,6,22,0,22,6,0.0,0.0,0.0
SMTP,mistral-small3.1,35,22,0,22,35,0.0,0.0,0.0
TCP,deepseek-reasoner,15,20,9,11,6,0.6,0.45,0.514
TCP,gpt-4o-mini,10,20,4,16,6,0.4,0.2,0.267
TCP,claude-3-7-sonnet-20250219,20,20,10,10,10,0.5,0.5,0.5
TCP,gemini-2.0-flash,45,20,1,19,44,0.022,0.05,0.031
TCP,deepseek-chat,12,20,7,13,5,0.583,0.35,0.438
TCP,qwq,9,20,1,19,8,0.111,0.05,0.069
TCP,qwen3:32b,9,20,4,16,5,0.444,0.2,0.276
TCP,gemma3:27b,14,20,3,17,11,0.214,0.15,0.176
TCP,mistral-small3.1,11,20,1,19,10,0.091,0.05,0.065
